blocker_id,source_document,affected_area,current_status,exact_missing_evidence,executable_now,external_dependency,required_tool,required_license,required_input,expected_output,acceptance_criteria,planned_stage,notes
EXT-ID-001,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,Historical APOLLO Analyzer external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity build architecture and relationship to repository solver and SPACER identities,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed executable or service on authorized machine,Vendor identity facility and SHA-256 tool,Named valid entitlement if required,No model required for identity capture,Executable or service metadata version output architecture publisher and installation manifest,Identity and relationship evidence uniquely distinguish this subsystem from every other candidate,STAGE-02,canonical_id: AN-ID-004; SPV-003; blocker AN-BLK-001; manual reference-only not machine evidence
EXT-ID-002,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER product shell external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed SPACER product identity build architecture modules and relationship to historical Analyzer,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed SPACER executable or service,Vendor identity facility and SHA-256 tool,Named valid SPACER entitlement,No model required for identity capture,Product and module executables services version output publisher architecture and installation manifest,Product shell and module identities are separately fixed and relationships are documented,STAGE-02,canonical_id: AN-ID-005; SPV-001; SPACER操作マニュアル.pdf SHA-256 e08681a290904c13c702ed864e0753d85e5c43201a5881c48766c0417aa7d012 reference-only
EXT-ID-003,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER STATICS module external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,STATICS module identity invocation hosting process version and relationship to SPACER product shell,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed hosting executable or service,Vendor identity facility and SHA-256 tool,Named valid SPACER STATICS entitlement,Checksum-fixed minimal supported DAT model after identity capture,Hosting executable module metadata version output and permitted logs,STATICS is uniquely mapped to its host product process version and callable boundary,STAGE-02,canonical_id: AN-ID-006; SPV-002; PAR-BLK-001 dependency
GOLD-001,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-001 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-001,sympy closed-form beam workbook or equivalent hand calculation plus sha256sum,NOT_APPLICABLE,examples/verification/beam/cantilever_tip_load.json checksum-fixed,GOLD-001-DERIV-PKG-v1 with signed N2 uy rz N1 fy mz quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-002,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-002 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-001,sympy simply-supported center-load workbook or equivalent hand calculation plus sha256sum,NOT_APPLICABLE,examples/verification/beam/simple_beam_center_load.json checksum-fixed,GOLD-002-DERIV-PKG-v1 with signed N2 uy N1/N3 fy and member-end Mz quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-003,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-003 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-001,sympy uniform-load beam workbook or equivalent hand calculation plus sha256sum,NOT_APPLICABLE,examples/verification/beam/simple_beam_uniform_load.json checksum-fixed,GOLD-003-DERIV-PKG-v1 with signed N2 uy N1/N3 fy and member-end Mz quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-004,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-004 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-001,sympy axial bar workbook or equivalent hand calculation plus sha256sum,NOT_APPLICABLE,Checksum-fixed axial member model artifact to be bound before derivation,GOLD-004-DERIV-PKG-v1 with signed axial displacement reaction and I-J axial action quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-005,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-005 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation artifact required and tolerance worksheet,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-001,sympy Saint-Venant torsion workbook or equivalent hand calculation plus sha256sum,NOT_APPLICABLE,examples/verification/beam/cantilever_torsion.json checksum-fixed,GOLD-005-DERIV-PKG-v1 with signed N2 rx N1 mx and I-J torsional action quantities derivation workbook convention sheet and SHA-256 manifest over model plus derivation plus expected,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-001; closure requires two agreeing independent derivations per D-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-006,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-006 REFERENCE_SOFTWARE_GOLDEN,NOT_APPROVED,Three-run native output bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER identity to be fixed,Selected SPACER STATICS executable with identity fixed by EXT-ID-002 EXT-ID-003 plus sha256sum and three-run normalized comparison record,Named valid entitlement for reference cases,Checksum-fixed native and repository models for symmetric planar grid,GOLD-006-REF-BUNDLE-v1 with fixed executable input native outputs SHA-256 manifests and three isolated run records,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-003,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-007,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-007 REFERENCE_SOFTWARE_GOLDEN,NOT_APPROVED,Three-run native output bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER identity to be fixed,Selected SPACER STATICS executable with identity fixed by EXT-ID-002 EXT-ID-003 plus model mapping tool sha256sum and three-run comparison record,Named valid entitlement for reference cases,Checksum-fixed four-main-girder bridge native and repository models,GOLD-007-REF-BUNDLE-v1 with native and repository representations SHA-256 manifests and three isolated run records,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-008,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-008 REFERENCE_SOFTWARE_GOLDEN,NOT_APPROVED,Three-run native output bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER identity to be fixed,Selected SPACER STATICS executable with identity fixed by EXT-ID-002 EXT-ID-003 plus model mapping tool sha256sum and three-run comparison record,Named valid entitlement for reference cases,Checksum-fixed five-main-girder bridge native and repository models,GOLD-008-REF-BUNDLE-v1 with native and repository representations SHA-256 manifests and three isolated run records,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-009,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-009 REFERENCE_SOFTWARE_GOLDEN,NOT_APPROVED,Three-run native output bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER identity to be fixed,Selected SPACER STATICS executable with identity fixed by EXT-ID-002 EXT-ID-003 plus model mapping tool sha256sum and three-run comparison record,Named valid entitlement for reference cases,Checksum-fixed six-main-girder bridge native and repository models,GOLD-009-REF-BUNDLE-v1 with native and repository representations SHA-256 manifests and three isolated run records,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-005,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-010,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-010 REFERENCE_SOFTWARE_GOLDEN,NOT_APPROVED,Three-run native output bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Reference identity to be fixed,Selected reference executable with identity fixed by AN-BLK-001 plus repository import adapter sha256sum and three-run comparison record,Named valid entitlement for reference cases,Checksum-fixed minimal two-case one-combination native and repository models,GOLD-010-REF-BUNDLE-v1 with case combination mapping worksheets native outputs SHA-256 manifests and three isolated run records,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-003,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-011,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-011 APPROVED_REGRESSION_GOLDEN,NOT_APPROVED,Independently approved canonical semantic artifact required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-004,Repository serializer and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed canonical bridge analysis document from independently approved contract fixture,GOLD-011-CANON-PKG-v1 with semantic equality specification variable-field exclusions parent Golden link and SHA-256 manifest,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-004,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-012,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-012 APPROVED_REGRESSION_GOLDEN,NOT_APPROVED,Independently specified rejection artifact required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-006,Schema validator IF3 gate tests and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed current source and stale IF3 result fixture for GOLD-012,GOLD-012-NEG-PKG-v1 with STALE status diagnostics expected rejection artifacts and SHA-256 manifest,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-006,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-013,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-013 APPROVED_REGRESSION_GOLDEN,NOT_APPROVED,Independently specified rejection artifact required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-006,Schema validator IF3 gate tests and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed source result and export request fixture for GOLD-013,GOLD-013-NEG-PKG-v1 with rejected authority state diagnostics and SHA-256 manifest,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-006,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-014,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-014 APPROVED_REGRESSION_GOLDEN,NOT_APPROVED,Independently specified rejection artifact required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-006,Schema validator IF3 gate tests and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed malformed analysis input fixture for GOLD-014,GOLD-014-NEG-PKG-v1 with named failure status diagnostic path empty authoritative results record and SHA-256 manifest,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-006,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-015,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-015 ANALYTICAL_GOLDEN,NOT_APPROVED,Independent derivation and expected verdict artifact required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-007,Licensed standards evidence independent calculation and checksum tools,NOT_APPLICABLE,Checksum-fixed design input and adopted DS-02 through DS-05 source values,GOLD-015-DVER-PKG-v1 with source manifest independent derivation expected quantities verdict and SHA-256 manifest,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-007,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
GOLD-016,docs/apollo/design-standards/07_golden/golden_case_catalog.csv,Golden case GOLD-016 APPROVED_REGRESSION_GOLDEN,NOT_APPROVED,Independently approved export artifact set required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,primary blocker GOLD-BLK-008,Repository export tools PDF inspection and checksum tools,NOT_APPLICABLE,Checksum-fixed live source and valid IF3 result after approved parent numeric Golden,GOLD-016-EXPORT-PKG-v1 with source IF3 CSV PDF lineage manifest producer versions and SHA-256,Independent approval with reproducibility_count target; primary_blocker GOLD-BLK-008,STAGE-03,approval_status NOT_APPROVED; phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers GOLD-BLK-002
PAR-001,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-001 INPUT_SEMANTIC_PARITY,NOT_APPROVED,Native input and transformation bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed minimal native model required,PAR-001-SEM-PKG-v1 with native input transformation bundle field mapping worksheet and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-002,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-002,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-002 MODEL_TOPOLOGY_PARITY,NOT_APPROVED,Native and Apollo topology bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed asymmetric topology model required,PAR-002-TOPO-PKG-v1 with native and Apollo topology bundle incidence mapping worksheet and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-002,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-003,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-003 MATERIAL_PARITY,NOT_APPROVED,DS-03 source plus native material bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed material model required,PAR-003-MAT-PKG-v1 with DS-03 source manifest native material bundle property map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-007,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-004,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-004 SUPPORT_PARITY,NOT_APPROVED,Native support and positive-probe bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed rotated-support model required,PAR-004-SUP-PKG-v1 with native support positive-probe bundle basis matrices and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-003,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-005,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-005 MEMBER_STIFFNESS_PARITY,NOT_APPROVED,Native formulation and probe bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed asymmetric member model required,PAR-005-STIFF-PKG-v1 with native formulation probe bundle member property map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-003,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-006,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-006 LOAD_CASE_PARITY,NOT_APPROVED,Native load-case mapping bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed one-case model required,PAR-006-CASE-PKG-v1 with native load-case mapping bundle case identity worksheet and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-004,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-007,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-007 LOAD_COMBINATION_PARITY,NOT_APPROVED,Native combination mapping bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_SEMANTIC_SET_MAPPING_V1,Named valid SPACER entitlement,Checksum-fixed asymmetric two-case combination required,PAR-007-COMB-PKG-v1 with native combination mapping bundle coefficient worksheet and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-004,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-008,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-008 ANALYSIS_NUMERIC_PARITY,NOT_APPROVED,Three native runs and Apollo result bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_NUMERIC_COMPONENT_V1,Named valid SPACER entitlement,Approved Golden and parity model required,PAR-008-NUM-PKG-v1 with three isolated native run bundles Apollo result bundle and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-005,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-009,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-009 DISPLACEMENT_PARITY,NOT_APPROVED,Full-precision displacement bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_NUMERIC_COMPONENT_V1,Named valid SPACER entitlement,Positive displacement/rotation probe suite required,PAR-009-DISP-PKG-v1 with full-precision displacement bundle DOF component map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-005,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-010,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-010 MEMBER_FORCE_PARITY,NOT_APPROVED,Full-precision member-force and equilibrium bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_NUMERIC_COMPONENT_V1,Named valid SPACER entitlement,Asymmetric I-J positive component suite required,PAR-010-FORCE-PKG-v1 with full-precision member-force equilibrium bundle I-J component map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-005,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-011,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-011 REACTION_PARITY,NOT_APPROVED,Full-precision reaction and equilibrium bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_NUMERIC_COMPONENT_V1,Named valid SPACER entitlement,Asymmetric support positive component suite required,PAR-011-REACT-PKG-v1 with full-precision reaction equilibrium bundle support component map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-005,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-012,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-012 SIGN_CONVENTION_PARITY,NOT_APPROVED,Transformation and equilibrium worksheet required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_NUMERIC_COMPONENT_V1,Named valid SPACER entitlement,All positive component and reversal probes required,PAR-012-SIGN-PKG-v1 with transformation equilibrium worksheet sign vector records and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-003,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
PAR-013,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-013 REPORT_PARITY,NOT_APPROVED,Native report producer and rounding bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_REPORT_DISPLAY_V1,Named valid SPACER entitlement,Checksum-fixed native and Apollo report inputs required,PAR-013-RPT-PKG-v1 with native report producer rounding bundle field coverage map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-008,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-005;PAR-BLK-006
PAR-014,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-014 DRAWING_PARITY,NOT_APPROVED,Native drawing producer and visual evidence bundle required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_DRAWING_SEMANTIC_VISUAL_V1,Named valid SPACER entitlement,Checksum-fixed native and Apollo drawing inputs required,PAR-014-DRW-PKG-v1 with native drawing producer visual evidence bundle semantic map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-008,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-005;PAR-BLK-006
PAR-015,docs/apollo/design-standards/08_spacer_parity/parity_case_catalog.csv,Parity case PAR-015 FILE_PARITY,NOT_APPROVED,Native file manifests schemas and permitted samples required,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,SPACER fixed version REQUIRED,DS08_FILE_SCHEMA_BYTE_V1,Named valid SPACER entitlement,Checksum-fixed native files required,PAR-015-FILE-PKG-v1 with native file manifests schemas permitted samples byte map and SHA-256 manifest,approval_status NOT_APPROVED; primary_blocker PAR-BLK-008,STAGE-04,phase1_status BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; additional_blockers PAR-BLK-001;PAR-BLK-006
