item_id,toc_id,title,software_category,current_liner_relation,road_geometry_relation,bridge_relation,rule_engine_relation,priority,confidence,reason
SM137,T188,普通道路の縦断勾配,LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM138,T189,普通道路の縦断勾配の特例値,LONGITUDINAL_GRADE;EXCEPTION_RULE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"縦断勾配, 例外規定",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM139,T190,小型道路の縦断勾配,LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM140,T191,適用の際の注意,LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM141,T192,登坂車線,LONGITUDINAL_GRADE;CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"縦断勾配, 横断構成",PARTIAL,YES,B,HIGH,本文確認後に照査
SM142,T193,概説,LONGITUDINAL_GRADE;CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"縦断勾配, 横断構成",PARTIAL,YES,B,HIGH,本文確認後に照査
SM143,T194,設置必要区間の設計,LONGITUDINAL_GRADE;CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"縦断勾配, 横断構成",PARTIAL,YES,B,HIGH,本文確認後に照査
SM144,T195,付加追越車線との関係,LONGITUDINAL_GRADE;CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"縦断勾配, 横断構成",PARTIAL,YES,B,HIGH,本文確認後に照査
SM145,T196,縦断曲線,VERTICAL_CURVE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断曲線,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM146,T197,縦断曲線,VERTICAL_CURVE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断曲線,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM147,T198,縦断曲線半径の望ましい値,VERTICAL_CURVE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断曲線,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM148,T199,縦断曲線の中間値の計算,VERTICAL_CURVE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,縦断曲線,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM149,T200,横断勾配,CROSS_SLOPE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM150,T201,車道部の横断勾配,CROSS_SLOPE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,横断勾配,PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM151,T202,歩道等の横断勾配（仮）,CROSS_SLOPE;SIDEWALK,LINER機能を直接補完（照査・橋梁配置・交差点等）,"横断勾配, 歩道",PARTIAL,YES,B,MEDIUM,本文確認後に照査
SM152,T203,合成勾配,CROSS_SLOPE;LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"横断勾配, 縦断勾配",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM153,T204,概説,CROSS_SLOPE;LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"横断勾配, 縦断勾配",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM154,T205,基準の算定（仮）,CROSS_SLOPE;LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"横断勾配, 縦断勾配",PARTIAL,YES,A,MEDIUM,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM155,T206,適用の際の注意,CROSS_SLOPE;LONGITUDINAL_GRADE,LINER数値計算コアに直結（線形・横断パラメータの入力/出力）,"横断勾配, 縦断勾配",PARTIAL,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM156,T207,第4章 平面交差,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM157,T208,道路の役割・機能,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM158,T209,平面交差の計画・設計,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM159,T210,幾何構造と交通制御,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM160,T211,幾何構造と交通安全,INTERSECTION;SAFETY_FACILITY,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 安全施設",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM161,T212,設計車両・通行方法・設計速度,INTERSECTION;DESIGN_SPEED;STRUCTURAL_REQUIREMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 設計速度, 構造要求",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM162,T213,平面交差点の形状・間隔,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM163,T214,枝数・交差角,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM164,T215,交差点の形状,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM165,T216,交差点の間隔,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM166,T217,平面交差点付近の線形,INTERSECTION;HORIZONTAL_ALIGNMENT,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 平面線形",PARTIAL,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM167,T218,交差点視距・交差点内の見通し,SIGHT_DISTANCE;INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"視距, 平面交差",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM168,T219,曲線半径・縦断線形,INTERSECTION;CURVE_RADIUS;LONGITUDINAL_GRADE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 平面線形の曲率半径, 縦断勾配",PARTIAL,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM169,T220,平面交差点付近の横断構成,INTERSECTION;CROSS_SECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 横断構成",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM170,T221,車線幅員・車線数,INTERSECTION;LANE_WIDTH,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 車線幅員",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM171,T222,本線,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM172,T223,右折車線,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM173,T224,左折車線,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM174,T225,変速車線,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM175,T226,導流路、交通島・隅切り等,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM176,T227,導流路,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM177,T228,交通島・分離帯,INTERSECTION;MEDIAN,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 中央帯",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM178,T229,交差点の通行方法・隅切り,INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,平面交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM179,T230,歩道・車道,INTERSECTION;SIDEWALK,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 歩道",NO,YES,B,HIGH,本文確認後に照査
SM180,T231,横断歩道、自転車横断帯・停止線,INTERSECTION;SAFETY_FACILITY,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 安全施設",NO,YES,B,HIGH,本文確認後に照査
SM181,T232,横断歩道,INTERSECTION;SAFETY_FACILITY,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 安全施設",NO,YES,B,HIGH,本文確認後に照査
SM182,T233,自転車横断帯,INTERSECTION;BICYCLE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 自転車",NO,YES,B,HIGH,本文確認後に照査
SM183,T234,停止線,INTERSECTION;SAFETY_FACILITY,LINER機能を直接補完（照査・橋梁配置・交差点等）,"平面交差, 安全施設",NO,YES,B,HIGH,本文確認後に照査
SM184,T235,（ラウンドアバウト・仮）,INTERSECTION,将来機能として接続可能性あり,平面交差,NO,YES,B,LOW,本文確認後に照査
SM185,T236,概説,INTERSECTION,将来機能として接続可能性あり,平面交差,NO,YES,B,HIGH,本文確認後に照査
SM186,T237,構成要素と交通量の定義,INTERSECTION,将来機能として接続可能性あり,平面交差,NO,YES,B,MEDIUM,本文確認後に照査
SM187,T238,適用条件と留意事項,INTERSECTION,将来機能として接続可能性あり,平面交差,NO,YES,B,HIGH,本文確認後に照査
SM188,T239,二段横断施設,INTERSECTION;SAFETY_FACILITY,将来機能として接続可能性あり,"平面交差, 安全施設",NO,YES,C,HIGH,本文確認後に照査
SM189,T240,第5章 立体交差,GRADE_SEPARATION;RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"立体交差, ランプ, ジャンクション",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM190,T241,概説,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM191,T242,立体交差の計画基準,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM192,T243,計画基準の具体的適用,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM193,T244,立体交差構造の原則,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM194,T245,普通道路・小型道路の分合流部,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM195,T246,交差点立体交差の計画・設計,GRADE_SEPARATION;INTERSECTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"立体交差, 平面交差",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM196,T247,計画原則,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM197,T248,交差点立体交差の計画・設計,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM198,T249,連絡側道,GRADE_SEPARATION,LINER機能を直接補完（照査・橋梁配置・交差点等）,立体交差,NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM199,T250,立体交差の流入出部,GRADE_SEPARATION;RAMP,LINER機能を直接補完（照査・橋梁配置・交差点等）,"立体交差, ランプ",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM200,T251,インターチェンジ等（計画・設計基準・仮）,RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション",NO,YES,B,MEDIUM,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM201,T252,位置決定,RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM202,T253,形式決定,RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM203,T254,形式の特性,RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM204,T255,基本（的基準・仮）,RAMP;JUNCTION,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション",NO,YES,B,LOW,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM205,T256,交通安全対策,RAMP;JUNCTION;SAFETY_FACILITY,LINER機能を直接補完（照査・橋梁配置・交差点等）,"ランプ, ジャンクション, 安全施設",NO,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM206,T266,第7章 自転車専用道路等・歩行者専用道路・歩車共存道路等,BICYCLE;SIDEWALK,将来機能として接続可能性あり,"自転車, 歩道",NO,YES,C,HIGH,本文確認後に照査
SM207,T267,自転車専用道路等,BICYCLE,将来機能として接続可能性あり,自転車,NO,YES,C,HIGH,本文確認後に照査
SM208,T268,概説,BICYCLE,将来機能として接続可能性あり,自転車,NO,YES,C,HIGH,本文確認後に照査
SM209,T269,自転車専用道路等の幅員・建築限界,BICYCLE;CLEARANCE,将来機能として接続可能性あり,"自転車, 建築限界",YES,YES,C,HIGH,本文確認後に照査
SM210,T270,自転車専用道路等の構造,BICYCLE,将来機能として接続可能性あり,自転車,NO,YES,C,HIGH,本文確認後に照査
SM211,T271,歩行者専用道路,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM212,T272,概説,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM213,T273,歩行者専用道路の構造,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM214,T274,附属施設,SIDEWALK,将来機能として接続可能性あり,歩道,NO,YES,C,HIGH,本文確認後に照査
SM215,T275,歩車共存道路等,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM216,T276,概説,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM217,T277,歩車共存道路等の必要性,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM218,T278,歩車共存道路等の種類,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM219,T279,計画・設計時の留意点,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM220,T280,歩車共存道路等の構造,SIDEWALK;BICYCLE,将来機能として接続可能性あり,"歩道, 自転車",NO,YES,C,HIGH,本文確認後に照査
SM221,T281,第8章 土工、舗装、道路構造物,STRUCTURAL_REQUIREMENT;BRIDGE;TUNNEL;DRAINAGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,"構造要求, 橋梁, TUNNEL, 排水",YES,YES,B,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM222,T300,橋、高架の道路等,BRIDGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,橋梁,YES,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM223,T301,構造,BRIDGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,橋梁,YES,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM224,T302,設計自動車荷重,BRIDGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,橋梁,YES,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM225,T303,構造の基準,BRIDGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,橋梁,YES,YES,A,HIGH,実案件(西知多道路・東海JCT)の線形計算書・設計図と対応
SM226,T304,小規模吊橋等,BRIDGE,LINER機能を直接補完（照査・橋梁配置・交差点等）,橋梁,YES,YES,B,HIGH,本文確認後に照査
SM227,T309,自動運行補助施設,SAFETY_FACILITY,将来機能として接続可能性あり,安全施設,NO,YES,C,HIGH,本文確認後に照査
SM228,T330,特定車両停留施設,STRUCTURAL_REQUIREMENT,将来機能として接続可能性あり,構造要求,NO,YES,C,HIGH,本文確認後に照査
SM229,T342,第10章 雑則,EXCEPTION_RULE,将来機能として接続可能性あり,例外規定,NO,YES,C,HIGH,本文確認後に照査
SM230,T343,附帯工事等の特例,EXCEPTION_RULE,将来機能として接続可能性あり,例外規定,NO,YES,C,HIGH,本文確認後に照査
SM231,T344,区分変更道路の特例,EXCEPTION_RULE,将来機能として接続可能性あり,例外規定,NO,YES,C,HIGH,本文確認後に照査
SM232,T345,小区間改良の場合の特例,EXCEPTION_RULE,将来機能として接続可能性あり,例外規定,NO,YES,C,HIGH,本文確認後に照査
